"analysis_type","scenario","filter","outcome","exposure","contrast","model","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","direction","ph_term","ph_p_value","covariates_used","covariates_dropped","note","outcome_label","exposure_label"
"survey_weighted_cox","Full analytic cohort","none","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.38711116414745,1.28464360731405,1.4977518828941,6.41550291523953e-17,6.41550291523953e-17,6484,897,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Full analytic cohort","none","all_cause_mortality","TT4","TT4","Model 3",1.06538364316217,1.00916308907265,1.12473624868755,0.0220348114552901,0.0220348114552901,6484,897,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Full analytic cohort","none","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.33081189665411,1.16063367240141,1.52594254879035,4.2408586238548e-05,4.2408586238548e-05,6484,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Full analytic cohort","none","cardiovascular_mortality","TT4","TT4","Model 3",1.10788079349681,0.977636217352225,1.25547706888697,0.108374070571937,0.108374070571937,6484,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Exclude deaths within first 2 years","not (all-cause death within <=2 years)","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.37709083433175,1.26506105308004,1.49904161651597,1.45723402093489e-13,1.45723402093489e-13,6368,781,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Exclude deaths within first 2 years","not (all-cause death within <=2 years)","all_cause_mortality","TT4","TT4","Model 3",1.06298443784811,1.00016393600339,1.12975070829132,0.0493825057816795,0.0493825057816795,6368,781,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Exclude deaths within first 2 years","not (all-cause death within <=2 years)","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.30307582034195,1.12676712633408,1.50697207424242,0.000358131598018338,0.000358131598018338,6368,216,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Exclude deaths within first 2 years","not (all-cause death within <=2 years)","cardiovascular_mortality","TT4","TT4","Model 3",1.12589979132987,0.98488774786714,1.2871013400886,0.0823956756357203,0.0823956756357203,6368,216,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Exclude eGFR <60","EGFR >=60","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.36650147001648,1.23587576903443,1.51093363454818,1.11994464086287e-09,1.11994464086287e-09,6042,680,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Exclude eGFR <60","EGFR >=60","all_cause_mortality","TT4","TT4","Model 3",1.07417907187308,1.00106977865165,1.15262762202677,0.0466206051368509,0.0466206051368509,6042,680,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Exclude eGFR <60","EGFR >=60","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.34374917316949,1.13939529791922,1.58475451293437,0.00044730762051489,0.00044730762051489,6042,178,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Exclude eGFR <60","EGFR >=60","cardiovascular_mortality","TT4","TT4","Model 3",1.13762920200014,1.00088134922245,1.2930605633214,0.0484405802338067,0.0484405802338067,6042,178,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Exclude diabetes","DIABETES == 0","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.40944983874253,1.27637212289153,1.55640256654225,1.18127273986745e-11,1.18127273986745e-11,5624,652,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + HYPERTENSION + EGFR + UIC_UG_L","DIABETES","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Exclude diabetes","DIABETES == 0","all_cause_mortality","TT4","TT4","Model 3",1.05464648198527,0.978549506370512,1.13666114460515,0.163773623351426,0.163773623351426,5624,652,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + HYPERTENSION + EGFR + UIC_UG_L","DIABETES","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Exclude diabetes","DIABETES == 0","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.27245942010143,1.12241744246036,1.44255863687903,0.00016717368895144,0.00016717368895144,5624,172,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + HYPERTENSION + EGFR + UIC_UG_L","DIABETES","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Exclude diabetes","DIABETES == 0","cardiovascular_mortality","TT4","TT4","Model 3",1.17892261141363,1.03790256432911,1.33910308295723,0.0113303650414737,0.0113303650414737,5624,172,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + HYPERTENSION + EGFR + UIC_UG_L","DIABETES","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Exclude hypertension","HYPERTENSION == 0","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.42873460101572,1.14234073517526,1.78692967630745,0.00177228080324141,0.00177228080324141,3799,249,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + EGFR + UIC_UG_L","HYPERTENSION","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Exclude hypertension","HYPERTENSION == 0","all_cause_mortality","TT4","TT4","Model 3",0.990387379976474,0.84840904206857,1.15612530487079,0.902620517274184,0.902620517274184,3799,249,"negative","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + EGFR + UIC_UG_L","HYPERTENSION","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Exclude hypertension","HYPERTENSION == 0","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.47896229070135,0.945173421120518,2.3142096555397,0.0866835878186587,0.0866835878186587,3799,55,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + EGFR + UIC_UG_L","HYPERTENSION","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Exclude hypertension","HYPERTENSION == 0","cardiovascular_mortality","TT4","TT4","Model 3",1.14573218359556,0.898605032344766,1.46082226259225,0.272418766907459,0.272418766907459,3799,55,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + EGFR + UIC_UG_L","HYPERTENSION","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.39407197011249,1.24579542674892,1.5599966223387,7.01783689061118e-09,7.01783689061118e-09,6353,833,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","all_cause_mortality","TT4","TT4","Model 3",1.06348400325266,0.998305541379956,1.1329179076888,0.0564630917510381,0.0564630917510381,6353,833,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.33751742502854,1.09608581554501,1.63212846739145,0.00419243761341298,0.00419243761341298,6353,230,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Exclude UACR >=300","UACR <300 mg/g","cardiovascular_mortality","TT4","TT4","Model 3",1.11755159580257,0.97709657743621,1.27819664721158,0.10482884355153,0.10482884355153,6353,230,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","all_cause_mortality","LOG_UACR","LOG_UACR","Model 3",1.38830479929403,1.27829827839278,1.50777815187718,6.73303568384635e-15,6.73303568384635e-15,5931,788,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","log(UACR)"
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","all_cause_mortality","TT4","TT4","Model 3",1.07878195148042,1.02200264461404,1.13871574107266,0.00597856597287131,0.00597856597287131,5931,788,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","All-cause mortality","TT4"
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","cardiovascular_mortality","LOG_UACR","LOG_UACR","Model 3",1.293881198874,1.12176426099397,1.49240675158986,0.000403601501818784,0.000403601501818784,5931,224,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","log(UACR)"
"survey_weighted_cox","Euthyroid participants","TSH 0.45-4.50 and FT4 0.60-1.60","cardiovascular_mortality","TT4","TT4","Model 3",1.0919144278252,0.958986825327506,1.24326746333106,0.184281349752725,0.184281349752725,5931,224,"positive","",,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox sensitivity analysis.","Cardiovascular mortality","TT4"
