"outcome","exposure_definition","contrast","model","beta","ci_low","ci_high","ci_95","p_value","p_fdr","p_trend","direction","statistically_significant_before_fdr","statistically_significant_after_fdr","n_model_unweighted","directionally_consistent_across_exposure_definitions","exposure_definitions_significant_before_fdr","exposure_definitions_significant_after_fdr","evidence_grade","conclusion_sentence"
"TT4","LOG_UACR","LOG_UACR","Model 3",0.0767732150412691,0.0348587133445976,0.118687716737941,"0.035 to 0.119",0.00124630233501232,0.00997041868009854,,"positive",TRUE,TRUE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TT4","UACR_QUARTILE","UACR_QUARTILEQ2","Model 3",0.0235178591769748,-0.158878194021041,0.205913912374991,"-0.159 to 0.206",0.802472476503319,0.982404829941614,0.0502018872054407,"positive",FALSE,FALSE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TT4","UACR_QUARTILE","UACR_QUARTILEQ3","Model 3",0.0765561550068265,-0.0673001830057311,0.220412493019384,"-0.067 to 0.220",0.306524754651856,0.985503655888505,0.0502018872054407,"positive",FALSE,FALSE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TT4","UACR_QUARTILE","UACR_QUARTILEQ4","Model 3",0.128576538568764,-0.0084207353631445,0.265573812500673,"-0.008 to 0.266",0.0772837592840052,0.242838454784793,0.0502018872054407,"positive",FALSE,FALSE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TT4","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY30-300","Model 3",0.22815786454738,0.0317693995536519,0.424546329541108,"0.032 to 0.425",0.0309231971259262,0.123692788503705,0.00533795423672551,"positive",TRUE,FALSE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TT4","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY>=300","Model 3",0.411700747642656,0.127125660928476,0.696275834356836,"0.127 to 0.696",0.00856321464594289,0.0685057171675432,0.00533795423672551,"positive",TRUE,FALSE,6487,TRUE,2,1,"Weak evidence","Weak evidence for a positive association between UACR and TT4 in Model 3."
"TGAB","LOG_UACR","LOG_UACR","Model 3",0.773485461613897,-0.319744618625565,1.86671554185336,"-0.320 to 1.867",0.176461895856846,0.470565055618257,,"positive",FALSE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
"TGAB","UACR_QUARTILE","UACR_QUARTILEQ2","Model 3",8.48765794574756,1.97508262837547,15.0002332631197,"1.975 to 15.000",0.0168400009535311,0.127928148284957,0.138636427390742,"positive",TRUE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
"TGAB","UACR_QUARTILE","UACR_QUARTILEQ3","Model 3",3.55718688609348,0.959326394254599,6.15504737793236,"0.959 to 6.155",0.0124945849114434,0.0999566792915472,0.138636427390742,"positive",TRUE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
"TGAB","UACR_QUARTILE","UACR_QUARTILEQ4","Model 3",4.74880431480021,0.981811914607323,8.5157967149931,"0.982 to 8.516",0.0203538893404945,0.162831114723956,0.138636427390742,"positive",TRUE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
"TGAB","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY30-300","Model 3",0.0293287780054215,-4.43607235706237,4.49472991307322,"-4.436 to 4.495",0.98982353704655,0.98982353704655,0.59213010627066,"positive",FALSE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
"TGAB","UACR_CLINICAL_CATEGORY","UACR_CLINICAL_CATEGORY>=300","Model 3",-3.38693767646526,-8.10302095924185,1.32914560631134,"-8.103 to 1.329",0.170656431481432,0.455083817283818,0.59213010627066,"negative",FALSE,FALSE,6487,FALSE,1,0,"No evidence","No evidence for a mixed association between UACR and TGAB in Model 3."
